ID,Address, Place of Occurrence,Acts,LATITUDE,LONGITUDE,Section
111,Sadhaura,Sadhaura,THEFT BY TIREPASSING HOUSE under IPC 1860,30.377597,77.217875,454
112,Royal Palace Sadhaura,Sadhaura,THEFT under IPC 1860,30.381956,77.226958,379
113,Anaj Mandi Sadhaura,Sadhaura,KIDNAPPING BY FORCE under IPC 1860,30.391352,77.220508,363
114,Rakba Village Pansara Fatak,Yamuna Nagar Sadar,"SUPPLYING OF WEAPONS under ARMS ACT, 1959",30.104692,77.302117,54
115,Rakba village Damla,Yamuna Nagar Sadar,THEFT under IPC 1860,30.084116,77.210646,379
116,Rakba Village Ratanpur,Yamuna Nagar Sadar,DISHONESTY under IPC 1860,30.106668,77.331117,420
117,Rakba Village Pansara Fatak,Yamuna Nagar Sadar,CARRYING OF ILLEGAL ARMED WEAPON under IPC 1860,30.10406,77.307988,148
118,Rakba Village Shadipur,Yamuna Nagar Sadar,"BETTING & GAMBLING  under THE PUBLIC GAMBLING ACT, 1867",30.106377,77.285603,67
119,Rakba Village Ratanpura,Yamuna Nagar Sadar,THEFT under IPC 1860,30.106296,77.331208,379
120,Rakba Roop Nagar Badi Majra,Yamuna Nagar Sadar,THEFT under IPC 1860,30.115977,77.30354,379
121,Rakba Village Tajakpur,Yamuna Nagar Sadar,THEFT under IPC 1860,30.114779,77.31586,379
122,Rakba Village Ratanpura,Yamuna Nagar Sadar,DEATH BY NEGLIGENCE under IPC 1860,30.10912,77.329546,304
123,Rakba Village Pansara Fatak,Yamuna Nagar Sadar,"SUPPLYING OF WEAPONS under ARMS ACT, 1959",30.102674,77.303013,54
124,Ps City Near Sugar Mill Ynr,Yamuna Nagar City,DISHONESTY under IPC 1860,30.120462,77.27765,420
125,Ps City Dusshera Ground Ynr,Yamuna Nagar City,THEFT under IPC 1860,30.159227,77.274451,379
126,Ps City Railway Fatak Ynr,Yamuna Nagar City,CARRYING OF ILLEGAL ARMED WEAPON under IPC 1860,30.116311,77.289072,148
127,Ps City Anand Colony Purana Hamida,Yamuna Nagar City,THEFT BY TIREPASSING HOUSE under IPC 1860,30.108235,77.277399,454
128,Ps City Jagadhri Road Ynr,Yamuna Nagar City,THEFT under IPC 1860,30.12111,77.289536,379
129,Ps City Bhamboli Chappar Ynr,Yamuna Nagar City,DISHONESTY under IPC 1860,30.126888,77.29693,420
130,Ps City Purana Hamida,Yamuna Nagar City,THEFT BY TIREPASSING HOUSE under IPC 1860,30.116016,77.278864,454
131,Power House Idgah Road Hamida Ynr,Yamuna Nagar City,THEFT under IPC 1860,30.115982,77.282588,379
132,Chand Colony Ynr,Yamuna Nagar City,THEFT BY TIREPASSING HOUSE under IPC 1860,30.121201,77.262529,454
133,PP Rampura Near Mahendra Petrol Pump,Yamuna Nagar City,THEFT under IPC 1860,30.110536,77.304986,379
